Location,lat,lon,cat,grp,cat1,cat2
The Floor Is Watching You,42.368175,-71.018362,Art: Art,Art,Art,NA
The Forgotten Fountain,42.346517,-71.248504,Art: Fountain,Art,Fountain,NA
"The Founders, Watertown",42.363739,-71.183205,Art: Statue,Art,Statue,NA
The Games People Play,42.370458,-71.113595,Art: Sign,Art,Sign,NA
The Gift Of Inhabitants,42.256894,-70.996003,Art: Sculpture,Art,Sculpture,NA
The Grand Stair,42.358613,-71.056237,Art: Architecture,Art,Architecture,NA
The Grapes are Ripe Mosaic,42.374124,-71.097528,Art: Mosaic,Art,Mosaic,NA
The Greater Boston Food Bank Mural,42.334646,-71.065524,Art: Mural,Art,Mural,NA
The Greatest Neighborhood this Side of Heaven,42.365866,-71.064449,Art: Engraving,Art,Engraving,NA
The Gryphons Of The Art Building,42.38594,-71.273122,Art: Architecture,Art,Architecture,NA
The Guy With the Violin,42.347236,-71.077204,Art: Installation,Art,Installation,NA
The Helm,42.362089,-71.047994,Art: Installation,Art,Installation,NA
The Hive Mind,42.338409,-71.097517,Art: Sculpture,Art,Sculpture,NA
The Jesus Center Of Good News,42.455138,-71.022919,"Art: Statue, religious",Art,Statue,Religious
The King Mural,42.358341,-71.203764,Art: Mural,Art,Mural,NA
The Lady in the Window,42.349757,-71.082385,Art: Statue,Art,Statue,NA
The Last Harvest Motif,42.36796,-71.143832,Art: Relief,Art,Relief,NA
The Lion,42.364467,-71.054838,Art: Statue,Art,Statue,NA
The Living Room Mural,42.361742,-71.052671,Art: Mural,Art,Mural,NA
The Living Season ,42.348422,-71.064599,Art: Painting,Art,Painting,NA
The Lone Sundial,42.292258,-71.308757,Art: Artifact,Art,Artifact,NA
The Metal Flower,42.156417,-70.946552,Art: Installation,Art,Installation,NA
The Miles Fountain,42.406591,-71.119663,Art: Fountain,Art,Fountain,NA
The Minute Man ,42.436975,-71.215089,"Art: Statue, minuteman",Art,Statue,Minuteman
The Monstah at An Tua Nua ,42.346748,-71.102899,Art: Mural,Art,Mural,NA
The Most American Wall,42.351697,-71.16052,Art: Architecture,Art,Architecture,NA
The New Yorker Diner Mural,42.365969,-71.182632,Art: Mural,Art,Mural,NA
The North Star,42.364146,-71.060874,Art: Mural,Art,Mural,NA
The Oceans are Deep Mural,42.344192,-71.063057,Art: Mural,Art,Mural,NA
The Onion,42.373613,-71.115903,Art: Sculpture,Art,Sculpture,NA
The Original Globe,42.295342,-71.265389,Art: Installation,Art,Installation,NA
The Partisans Sculpture,42.348247,-71.042661,Art: Sculpture,Art,Sculpture,NA
The People Were Gaunt,42.357282,-71.058731,Art: Literary,Art,Literary,NA
The Pig at Henrietta's Table at the Charles Hotel,42.37216,-71.123033,Art: Storefront,Art,Storefront,NA
The Plants of East Boston Mural,42.369453,-71.037687,Art: Mural,Art,Mural,NA
The Power of Cloud,42.361724,-71.052195,Art: Electrical Box,Art,Electrical Box,NA
The Precautionary Principle Mural,42.365478,-71.102266,Art: Mural,Art,Mural,NA
The Premier,42.340492,-71.091347,Art: Architecture,Art,Architecture,NA
The Proud Lion,42.26466,-71.023655,Art: Statue,Art,Statue,NA
The Real Mother Goose,42.398132,-71.259224,"Art: Statue, religious",Art,Statue,Religious
The Ryles Jazz Saxophone,42.373251,-71.100396,Art: Artifact,Art,Artifact,NA
The Secret Doorway,42.414486,-71.149988,Art: Architecture,Art,Architecture,NA
The Shrouded Urn,42.258319,-71.000451,Art: Ceramics,Art,Ceramics,NA
The Slave Wall,42.425303,-71.138749,Art: Architecture,Art,Architecture,NA
The Sleepwalker,42.294291,-71.307399,Art: Statue,Art,Statue,NA
The Space Within,42.344679,-71.0863,Art: Sculpture,Art,Sculpture,NA
The Spot Cafe Mural,42.370208,-71.193477,Art: Mural,Art,Mural,NA
The Subway Collector by Thomas Hunley,42.301182,-71.113623,Art: Literary,Art,Literary,NA
The Tragic Mask of Beethoven,42.359118,-71.08905,Art: Sculpture,Art,Sculpture,NA
The Urban Wilds Mural,42.27395,-71.060416,Art: Mural,Art,Mural,NA
The Wall Electric Box,42.431872,-71.050184,Art: Electrical Box,Art,Electrical Box,NA
The Yaz Door,42.346899,-71.097661,Art: Architecture,Art,Architecture,NA
Theodore Parker Statue ,42.286147,-71.15519,Art: Statue,Art,Statue,NA
There's Always Hope in Moss ,42.334002,-71.072568,Art: Mural,Art,Mural,NA
Thermopylae,42.360919,-71.059766,Art: Sculpture,Art,Sculpture,NA
This is Where We Live Work Create Mural,42.36378,-71.092497,Art: Mural,Art,Mural,NA
Thomas Cass,42.352588,-71.068698,Art: Statue,Art,Statue,NA
Thomas Cass Statue,42.352584,-71.068654,Art: Statue,Art,Statue,NA
Thompson Memorial Mural,42.375211,-71.241545,Art: Mural,Art,Mural,NA
Those Leaning Wall,42.345276,-71.086579,Art: Architecture,Art,Architecture,NA
Though I May Be Dreaming of a World,42.342025,-71.122703,Art: Mural,Art,Mural,NA
"Three-Piece Reclining Figure, Draped",42.358339,-71.091642,Art: Sculpture,Art,Sculpture,NA
Three Bronze Trees,42.343865,-71.084088,Art: Statue,Art,Statue,NA
Three Lines,42.4312,-71.311679,Art: Installation,Art,Installation,NA
Three Lines,42.431447,-71.311714,Art: Installation,Art,Installation,NA
Three Musicians,42.368202,-71.115712,Art: Installation,Art,Installation,NA
Three Tiered Fountain,42.490065,-70.958778,Art: Fountain,Art,Fountain,NA
Through Layers and Leaves,42.362351,-71.089422,Art: Installation,Art,Installation,NA
Tiger Cornice,42.348786,-71.13357,Art: Architecture,Art,Architecture,NA
Tile Art,42.345134,-71.052374,Art: Art,Art,Art,NA
Tile Art Fountain,42.32034,-71.08816,Art: Fountain,Art,Fountain,NA
Tiled Wall Art,42.382507,-71.116918,Art: Art,Art,Art,NA
Tim Duncan Quote,42.306746,-71.108501,Art: Literary,Art,Literary,NA
Time Enough,42.315296,-71.133066,Art: Sculpture,Art,Sculpture,NA
TJ Window Art,42.349654,-71.21949,Art: Storefront,Art,Storefront,NA
To The Mother of Mothers,42.150707,-71.007824,"Art: Statue, religious",Art,Statue,Religious
Toll with Me,42.348228,-71.050022,Art: Installation,Art,Installation,NA
Tom Sawyer Mural,42.350837,-71.131427,Art: Mural,Art,Mural,NA
Tony DeMarco,42.362547,-71.055454,Art: Statue,Art,Statue,NA
Topological,42.376115,-71.116496,Art: Sculpture,Art,Sculpture,NA
Torrington Cornucopia Façade,42.348748,-71.089771,Art: Architecture,Art,Architecture,NA
Torsos Street Sculpture,42.322713,-71.100855,Art: Sculpture,Art,Sculpture,NA
Totem of Protection,42.364526,-71.097326,Art: Installation,Art,Installation,NA
Touchdown Jesus,42.418318,-71.000225,Art: Mural,Art,Mural,NA
Trader Joe's Mural,42.358223,-71.114378,Art: Mural,Art,Mural,NA
Tragedy Mask at the Wilbur The,42.350734,-71.064902,Art: Architecture,Art,Architecture,NA
Transition: The Evolving Spirit,42.345149,-71.142907,Art: Sculpture,Art,Sculpture,NA
Transmit and Receive,42.369505,-71.06709,Art: Sculpture,Art,Sculpture,NA
Transparent Horizon,42.360748,-71.088686,Art: Sculpture,Art,Sculpture,NA
Trapped in an Electric Box and Loving It,42.405895,-71.065759,Art: Electrical Box,Art,Electrical Box,NA
Traveler Wall Relief,42.344527,-71.071783,Art: Relief,Art,Relief,NA
Tree Art,42.353258,-71.065745,Art: Art,Art,Art,NA
Tree Bird Mosaics,42.372086,-71.087449,Art: Mosaic,Art,Mosaic,NA
Tree Electric Box,42.411108,-71.091997,Art: Electrical Box,Art,Electrical Box,NA
Tree Mural,42.369318,-71.110693,Art: Mural,Art,Mural,NA
Tree of Life Fountain,42.336052,-71.170174,Art: Fountain,Art,Fountain,NA
Tree Of Life Switchbox,42.426618,-71.081574,Art: Electrical Box,Art,Electrical Box,NA
Tree Roots Mural,42.307746,-71.112791,Art: Mural,Art,Mural,NA
Tree Sculpture at Waldo Playground ,42.405051,-71.136446,Art: Sculpture,Art,Sculpture,NA
Tree Silhouette Mural,42.336304,-71.090293,Art: Mural,Art,Mural,NA
Trees on Electric Box,42.262489,-71.20191,Art: Electrical Box,Art,Electrical Box,NA
Trenton Park Fountain  ,42.380365,-71.033005,Art: Fountain,Art,Fountain,NA
Tribal Art Bench,42.29949,-71.062878,Art: Artifact,Art,Artifact,NA
Tribute to the Statue of Liberty,42.350008,-71.072321,Art: Statue,Art,Statue,NA
Trinity Formerly Dunes I,42.360538,-71.090747,Art: Sculpture,Art,Sculpture,NA
Triple Piling ,42.344418,-71.05686,Art: Sculpture,Art,Sculpture,NA
Trompe L'oeil Façade,42.337656,-71.141247,Art: Architecture,Art,Architecture,NA
Trophy Catch,42.366808,-71.015664,Art: Installation,Art,Installation,NA
Tropical Foods Mural ,42.332286,-71.081582,Art: Mural,Art,Mural,NA
Trust In Me ,42.420397,-71.148123,"Art: Statue, funerary",Art,Statue,Funerary
Tulip Flower Bike Rack,42.383131,-71.1242,Art: Bike Rack,Art,Bike Rack,NA
Tupelo Honey Bee,42.373174,-71.09718,Art: Installation,Art,Installation,NA
Turn Of The Century Gas Lamp Post,42.322055,-71.119306,Art: Artifact,Art,Artifact,NA
Turtle Rock Fountain,42.453051,-71.158578,Art: Fountain,Art,Fountain,NA
Turtle Sculpture,42.349236,-71.133822,Art: Sculpture,Art,Sculpture,NA
Tuscan Beat Mural,42.372338,-71.122595,Art: Mural,Art,Mural,NA
TV Man,42.358847,-71.089147,Art: Sculpture,Art,Sculpture,NA
"TV Man, or Five Piece Cube with a Strange Hole",42.358873,-71.089063,Art: Sculpture,Art,Sculpture,NA
Twisted Sculpture,42.414551,-71.325245,Art: Sculpture,Art,Sculpture,NA
Twisty Fountains,42.324921,-71.051594,Art: Fountain,Art,Fountain,NA
Two Birds,42.361672,-71.079109,Art: Mural,Art,Mural,NA
Two Children Under An Umbrella Fountain,42.156649,-71.007764,Art: Fountain,Art,Fountain,NA
Ukrainian Church Mosaic,42.307153,-71.102046,Art: Mosaic,Art,Mosaic,NA
Ulmich Pakker Statue,42.364179,-71.187015,Art: Sculpture,Art,Sculpture,NA
Ulmus Americana,42.408001,-71.133516,Art: Engraving,Art,Engraving,NA
Uncle Sam Statue - Arlington M,42.415939,-71.153057,Art: Statue,Art,Statue,NA
Unidentified Object Mural,42.364525,-71.160678,Art: Mural,Art,Mural,NA
Unique Art,42.356702,-71.049345,Art: Art,Art,Art,NA
United Neighbors of Lower Roxbury ,42.335278,-71.085114,Art: Mural,Art,Mural,NA
United Vintage Aircraft,42.360783,-71.017536,Art: Photography,Art,Photography,NA
United Wall Mural,42.39409,-71.037734,Art: Mural,Art,Mural,NA
Unity Mural,42.341516,-71.121271,Art: Mural,Art,Mural,NA
Untitled Mural,42.348421,-71.135929,Art: Mural,Art,Mural,NA
Untitled Mural,42.331485,-71.082117,Art: Mural,Art,Mural,NA
Untitled Paintbox by Carla Castro,42.34623,-71.152258,Art: Electrical Box,Art,Electrical Box,NA
Untitled Sculpture,42.350917,-71.108526,Art: Sculpture,Art,Sculpture,NA
Untitled Work,42.350133,-71.099635,Art: Sculpture,Art,Sculpture,NA
Upham Column ,42.368933,-71.142789,Art: Architecture,Art,Architecture,NA
Uplifting Silver Fire,42.348913,-71.071742,Art: Sculpture,Art,Sculpture,NA
Upper Residential Brick Wall Patio,42.409465,-71.122125,Art: Architecture,Art,Architecture,NA
Urban Castle Façade,42.359803,-71.094631,Art: Architecture,Art,Architecture,NA
Urban Oasis,42.354063,-71.056615,Art: Architecture,Art,Architecture,NA
Urban Parks Trust Mural,42.461974,-70.928267,Art: Mural,Art,Mural,NA
Urban Redwood,42.362818,-71.05984,Art: Mural,Art,Mural,NA
Urban Renewal Electrical Box,42.355556,-71.060341,Art: Electrical Box,Art,Electrical Box,NA
Urban Street Mural,42.317552,-71.096239,Art: Mural,Art,Mural,NA
Urban Totem Art,42.326914,-71.082451,Art: Artifact,Art,Artifact,NA
Urban Wilds,42.349081,-71.076946,Art: Electrical Box,Art,Electrical Box,NA
Urbanro Statuettes,42.344374,-71.144246,Art: Architecture,Art,Architecture,NA
US Post Office Swirl Statue,42.41442,-71.325447,Art: Statue,Art,Statue,NA
Utensil Artwork,42.35975,-71.0622,Art: Art,Art,Art,NA
Utility Box,42.425072,-71.110085,Art: Electrical Box,Art,Electrical Box,NA
Van Gogh Power Box,42.234236,-71.161864,Art: Electrical Box,Art,Electrical Box,NA
Vellucci Fountain at Cambridgeside Galleria,42.369152,-71.076421,Art: Fountain,Art,Fountain,NA
Vent Shafts,42.347515,-71.073969,Art: Architecture,Art,Architecture,NA
Vertex Lobby Mosaic,42.353892,-71.045754,Art: Mosaic,Art,Mosaic,NA
Veterans Flag Mural,42.353787,-71.139935,Art: Mural,Art,Mural,NA
Vfcognoscant-te,42.406939,-71.010539,Art: Architecture,Art,Architecture,NA
Victorian Arabesque,42.366048,-71.05898,Art: Architecture,Art,Architecture,NA
Victorian Façade,42.337289,-71.143337,Art: Architecture,Art,Architecture,NA
Villa Victoria Mural,42.341633,-71.07352,Art: Mural,Art,Mural,NA
Village Market Mural,42.286385,-71.129631,Art: Mural,Art,Mural,NA
Vine Wall Art At No 6,42.355829,-71.098954,Art: Art,Art,Art,NA
Vintage Coca Cola Wall,42.366601,-71.186473,Art: Sign,Art,Sign,NA
Vintage Marble Façade ,42.319366,-71.172111,Art: Architecture,Art,Architecture,NA
Virgin Mary in Vines,42.370588,-71.104529,"Art: Statue, religious",Art,Statue,Religious
Virgin Mary Statue,42.383447,-71.188785,"Art: Statue, religious",Art,Statue,Religious
Virgin Mary Statute,42.290582,-71.049228,"Art: Statue, religious",Art,Statue,Religious
Virgin Mary the Redeemer Statue,42.37084,-71.040338,"Art: Statue, religious",Art,Statue,Religious
Virgin Mary Waterfall ,42.367136,-71.099614,"Art: Statue, religious",Art,Statue,Religious
Virgin Statue,42.333662,-71.051815,"Art: Statue, religious",Art,Statue,Religious
"Waban Street Mural \Four Seasons\""""",42.326153,-71.226462,Art: Mural,Art,Mural,NA
Wacky Metal Pipe Framework,42.367284,-71.065592,Art: Architecture,Art,Architecture,NA
Walk Without Rhythm Or You'll Attract The Worm,42.350073,-71.042302,Art: Installation,Art,Installation,NA
Walking Flower Times the Power of Five,42.429327,-71.310967,Art: Sculpture,Art,Sculpture,NA
Walnut Market Mural,42.314875,-71.095131,Art: Mural,Art,Mural,NA
Walnut Park Fountain,42.314541,-71.094045,Art: Fountain,Art,Fountain,NA
Waltham Coordinate Mural Box,42.376189,-71.242986,Art: Electrical Box,Art,Electrical Box,NA
Waltham Electric Box,42.3746,-71.236428,Art: Electrical Box,Art,Electrical Box,NA
Waltham Vintage Facade,42.375756,-71.234647,Art: Architecture,Art,Architecture,NA
Waltham Watch City Electric Box,42.376589,-71.266062,Art: Electrical Box,Art,Electrical Box,NA
Wampatuck Painted Suggestion Box,42.199503,-70.843012,Art: Electrical Box,Art,Electrical Box,NA
Wand of Inquiry Sculptures,42.365521,-71.25795,Art: Sculpture,Art,Sculpture,NA
Wanderer Sculpture,42.342532,-71.065742,Art: Sculpture,Art,Sculpture,NA
Wannabe Mason Relief,42.340795,-71.111223,Art: Relief,Art,Relief,NA
Washington and Elm Electric Box ,42.348679,-71.229148,Art: Electrical Box,Art,Electrical Box,NA
Washington St. Painted Box,42.349468,-71.225387,Art: Electrical Box,Art,Electrical Box,NA
Washington Street Mural,42.349261,-71.15404,Art: Mural,Art,Mural,NA
Washington: The Free Mason,42.436712,-71.21475,Art: Statue,Art,Statue,NA
Washington's General Orders,42.376373,-71.121307,Art: Engraving,Art,Engraving,NA
Watch City Cigar Indian,42.376348,-71.245009,Art: Storefront,Art,Storefront,NA
Watch Factory Box,42.371633,-71.23663,Art: Electrical Box,Art,Electrical Box,NA
Water Feathers Electric Box,42.279007,-71.054321,Art: Electrical Box,Art,Electrical Box,NA
Water Feature Chinatown,42.352106,-71.058942,Art: Architecture,Art,Architecture,NA
Water Forms Octopus,42.344899,-71.082683,Art: Weathervane,Art,Weathervane,NA
Water Fountain,42.387167,-71.155681,Art: Fountain,Art,Fountain,NA
Water Fountain,42.335071,-71.11469,Art: Fountain,Art,Fountain,NA
Water Fountain ,42.355275,-71.070241,Art: Fountain,Art,Fountain,NA
Waterfall Fountain,42.495158,-71.124735,Art: Fountain,Art,Fountain,NA
Waterfall Wall,42.338783,-71.252845,Art: Architecture,Art,Architecture,NA
Waterfall Wall,42.346707,-71.081704,Art: Architecture,Art,Architecture,NA
Waterfrogs Tadpole,42.356154,-71.064269,Art: Statue,Art,Statue,NA
Waterman and Sons Facade 1890,42.329949,-71.084337,Art: Architecture,Art,Architecture,NA
Watermelon Circuit Box,42.349134,-71.097397,Art: Electrical Box,Art,Electrical Box,NA
Watertown Memorial Wall,42.370303,-71.189557,Art: Architecture,Art,Architecture,NA
Waterworks Mural,42.429434,-71.045277,Art: Mural,Art,Mural,NA
WCCP Mural,42.374322,-71.119878,Art: Mural,Art,Mural,NA
We Are Family,42.322556,-71.100096,Art: Mural,Art,Mural,NA
We The People..,42.354835,-71.055384,Art: Architecture,Art,Architecture,NA
Webster Atom,42.362936,-71.108592,Art: Installation,Art,Installation,NA
